id,name,D,PWM,LE,VALID,fsx,fsy,Comment
9,NGS_A_1,P8_20,P9_16,P9_42,1,948,364,
39,NGS_A_2,P8_22,P9_16,P9_42,0,,,
16,NGS_A_3,P8_24,P9_16,P9_42,1,1082,286,
43,NGS_A_4,P8_6,P8_19,P8_11,0,,,
44,NGS_A_5,P8_12,P8_19,P8_11,0,,,
23,NGS_A_6,P8_14,P8_19,P8_11,0,,,
40,NGS_A_7,P8_16,P8_19,P8_11,0,,,
15,NGS_A_8,P8_18,P8_19,P8_11,1,1039,131,
26,NGS_A_9,P8_20,P8_19,P8_11,1,1176,290,
42,NGS_A_10,P8_22,P8_19,P8_11,0,,,
8,NGS_A_11,P8_24,P8_19,P8_11,1,999,279,
25,NGS_A_12,P8_6,P8_13,P8_15,1,1166,172,
41,NGS_A_13,P8_12,P8_13,P8_15,0,,,
45,NGS_A_14,P8_18,P9_16,P9_42,0,,,
17,NGS_A_15,P8_16,P9_16,P9_42,1,1006,426,
7,NGS_A_16,P8_14,P9_16,P9_42,1,980,191,
28,NGS_A_17,P8_12,P9_16,P9_42,1,1069,493,
24,NGS_A_18,P8_6,P9_16,P9_42,1,1110,71,
0,NGS_A_19,GND,NA,NA,0,,,
22,NGS_A_20,P8_24,P8_13,P8_15,0,,,
14,NGS_A_21,P8_22,P8_13,P8_15,1,900,56,
46,NGS_A_22,P8_20,P8_13,P8_15,0,,,
27,NGS_A_23,P8_18,P8_13,P8_15,1,1143,403,
29,NGS_A_24,P8_16,P8_13,P8_15,0,,,
3,NGS_A_25,P8_14,P8_13,P8_15,1,917,277,
10,NGS_B_1,P8_14,P9_16,P9_41,1,858,381,
52,NGS_B_2,P8_12,P9_16,P9_41,0,,,(LED mal soldado)
2,NGS_B_3,P8_6,P9_16,P9_41,1,893,222,
32,NGS_B_4,P8_24,P9_14,P9_12,1,649,458,
53,NGS_B_5,P8_22,P9_14,P9_12,0,,,VIGN
20,NGS_B_6,P8_20,P9_14,P9_12,1,673,242,
31,NGS_B_7,P8_18,P9_14,P9_12,1,742,531,VIGN mitad 1Â° fila
12,NGS_B_8,P8_16,P9_14,P9_12,1,756,,
6,NGS_B_9,P8_14,P9_14,P9_12,1,897,238,
19,NGS_B_10,P8_12,P9_14,P9_12,1,713,397,
13,NGS_B_11,P8_6,P9_14,P9_12,1,808,163,
48,NGS_B_12,P8_24,P9_14,P9_15,0,,,
47,NGS_B_13,P8_22,P9_14,P9_15,0,,,
18,NGS_B_14,P8_16,P9_16,P9_41,1,857,470,
37,NGS_B_15,P8_18,P9_16,P9_41,0,,,
21,NGS_B_16,P8_20,P9_16,P9_41,1,748,101,
35,NGS_B_17,P8_22,P9_16,P9_41,1,613,125,tenue un lado
1,NGS_B_18,P8_24,P9_16,P9_41,1,879,263,
0,NGS_B_19,GND,NA,NA,NA,,,
11,NGS_B_20,P8_6,P9_14,P9_15,1,777,336,
5,NGS_B_21,P8_12,P9_14,P9_15,1,836,245,
4,NGS_B_22,P8_14,P9_14,P9_15,1,862,302,
38,NGS_B_23,P8_16,P9_14,P9_15,0,,,
36,NGS_B_24,P8_18,P9_14,P9_15,1,686,31,
30,NGS_B_25,P8_20,P9_14,P9_15,0,,,
0,NGS_C_1,NA,NA,NA,NA,,,
0,NGS_C_2,NA,NA,NA,NA,,,
0,NGS_C_3,NA,NA,NA,NA,,,
0,NGS_C_4,NA,NA,NA,NA,,,
0,NGS_C_5,NA,NA,NA,NA,,,
0,NGS_C_6,NA,NA,NA,NA,,,
0,NGS_C_7,NA,NA,NA,NA,,,
0,NGS_C_8,NA,NA,NA,NA,,,
0,NGS_C_9,NA,NA,NA,NA,,,
49,NGS_C_10,P8_18,P9_14,P8_44,1,527,464,
34,NGS_C_11,P8_16,P9_14,P8_44,1,585,238,
33,NGS_C_12,P8_14,P9_14,P8_44,1,596,356,
51,NGS_C_13,P8_12,P9_14,P8_44,1,489,155,
0,NGS_C_14,NA,NA,NA,NA,,,
0,NGS_C_15,NA,NA,NA,NA,,,
0,NGS_C_16,NA,NA,NA,NA,,,
0,NGS_C_17,NA,NA,NA,NA,,,
0,NGS_C_18,NA,NA,NA,NA,,,
0,NGS_C_19,GND,NA,NA,NA,,,
0,NGS_C_20,NA,NA,NA,NA,,,
0,NGS_C_21,NA,NA,NA,NA,,,
0,NGS_C_22,NA,NA,NA,NA,,,
0,NGS_C_23,NA,NA,NA,NA,,,
0,NGS_C_24,NA,NA,NA,NA,,,
50,NGS_C_25,P8_6,P9_14,P8_44,1,479,313,
109,LGS_A_1,P8_20,P8_19,P8_45,,,,
139,LGS_A_2,P8_22,P8_19,P8_45,,,,
116,LGS_A_3,P8_24,P8_19,P8_45,,,,
143,LGS_A_4,P8_6,P9_16,P8_5,,,,
144,LGS_A_5,P8_12,P9_16,P8_5,,,,
123,LGS_A_6,P8_14,P9_16,P8_5,,,,
140,LGS_A_7,P8_16,P9_16,P8_5,,,,
115,LGS_A_8,P8_18,P9_16,P8_5,,,,
126,LGS_A_9,P8_20,P9_16,P8_5,,,,
142,LGS_A_10,P8_22,P9_16,P8_5,,,,
108,LGS_A_11,P8_24,P9_16,P8_5,,,,
125,LGS_A_12,P8_6,P9_14,P8_42,,,,
141,LGS_A_13,P8_12,P9_14,P8_42,,,,
145,LGS_A_14,P8_18,P8_19,P8_45,,,,
117,LGS_A_15,P8_16,P8_19,P8_45,,,,
107,LGS_A_16,P8_14,P8_19,P8_45,,,,
128,LGS_A_17,P8_12,P8_19,P8_45,,,,
124,LGS_A_18,P8_6,P8_19,P8_45,,,,
100,LGS_A_19,GND,NA,NA,,,,
122,LGS_A_20,P8_24,P9_14,P8_42,,,,
114,LGS_A_21,P8_22,P9_14,P8_42,,,,
146,LGS_A_22,P8_20,P9_14,P8_42,,,,
127,LGS_A_23,P8_18,P9_14,P8_42,,,,
129,LGS_A_24,P8_16,P9_14,P8_42,,,,
103,LGS_A_25,P8_14,P9_14,P8_42,,,,
110,LGS_B_1,P8_14,P8_19,P8_46,,,,
152,LGS_B_2,P8_12,P8_19,P8_46,,,,
102,LGS_B_3,P8_6,P8_19,P8_46,,,,
132,LGS_B_4,P8_24,P8_13,P8_4,,,,
153,LGS_B_5,P8_22,P8_13,P8_4,,,,
120,LGS_B_6,P8_20,P8_13,P8_4,,,,
131,LGS_B_7,P8_18,P8_13,P8_4,,,,
112,LGS_B_8,P8_16,P8_13,P8_4,,,,
106,LGS_B_9,P8_14,P8_13,P8_4,,,,
119,LGS_B_10,P8_12,P8_13,P8_4,,,,
113,LGS_B_11,P8_6,P8_13,P8_4,,,,
148,LGS_B_12,P8_24,P8_13,P8_3,,,,
147,LGS_B_13,P8_22,P8_13,P8_3,,,,
118,LGS_B_14,P8_16,P8_19,P8_46,,,,
137,LGS_B_15,P8_18,P8_19,P8_46,,,,
121,LGS_B_16,P8_20,P8_19,P8_46,,,,
135,LGS_B_17,P8_22,P8_19,P8_46,,,,
101,LGS_B_18,P8_24,P8_19,P8_46,,,,
100,LGS_B_19,GND,NA,NA,,,,
111,LGS_B_20,P8_6,P8_13,P8_3,,,,
105,LGS_B_21,P8_12,P8_13,P8_3,,,,
104,LGS_B_22,P8_14,P8_13,P8_3,,,,
138,LGS_B_23,P8_16,P8_13,P8_3,,,,
136,LGS_B_24,P8_18,P8_13,P8_3,,,,
130,LGS_B_25,P8_20,P8_13,P8_3,,,,
100,LGS_C_1,NA,NA,NA,,,,
100,LGS_C_2,NA,NA,NA,,,,
100,LGS_C_3,NA,NA,NA,,,,
100,LGS_C_4,NA,NA,NA,,,,
100,LGS_C_5,NA,NA,NA,,,,
100,LGS_C_6,NA,NA,NA,,,,
100,LGS_C_7,NA,NA,NA,,,,
100,LGS_C_8,NA,NA,NA,,,,
100,LGS_C_9,NA,NA,NA,,,,
149,LGS_C_10,P8_18,P8_13,P8_17,,,,
134,LGS_C_11,P8_16,P8_13,P8_17,,,,
133,LGS_C_12,P8_14,P8_13,P8_17,,,,
151,LGS_C_13,P8_12,P8_13,P8_17,,,,
100,LGS_C_14,NA,NA,NA,,,,
100,LGS_C_15,NA,NA,NA,,,,
100,LGS_C_16,NA,NA,NA,,,,
100,LGS_C_17,NA,NA,NA,,,,
100,LGS_C_18,NA,NA,NA,,,,
100,LGS_C_19,GND,NA,NA,,,,
100,LGS_C_20,NA,NA,NA,,,,
100,LGS_C_21,NA,NA,NA,,,,
100,LGS_C_22,NA,NA,NA,,,,
100,LGS_C_23,NA,NA,NA,,,,
100,LGS_C_24,NA,NA,NA,,,,
150,LGS_C_25,P8_6,P8_13,P8_17,,,,
,,,,,,,,
id,name,dir,step,sleep,opto1,,,opto2
1,m1,P8_28,P8_27,P8_25,P8_41,,,P8_43
2,m2,P8_26,P8_23,P8_21,P8_40,,,P8_39
3,m3,P9_23,P9_25,P9_27,P8_30,,,P8_29
